window_id,split,lake_name,target_datetime,length,window_days,target_raw,input_prev_ice_m,input_prev_gap_days,input_prev_available,coeff_shape
seasonal_rollout_000000,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-11-02 12:00:00,2,7,,0.7122,258.0,True,"(1, 52)"
seasonal_rollout_000001,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-11-03 12:00:00,3,7,,0.8013271689414978,1.0,True,"(2, 52)"
seasonal_rollout_000002,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-11-04 12:00:00,4,7,,0.4541283845901489,1.0,True,"(3, 52)"
seasonal_rollout_000003,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-11-05 12:00:00,5,7,,0.25831881165504456,1.0,True,"(4, 52)"
seasonal_rollout_000004,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-11-06 12:00:00,6,7,,0.20070114731788635,1.0,True,"(5, 52)"
seasonal_rollout_000005,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-11-07 12:00:00,7,7,,0.16875961422920227,1.0,True,"(6, 52)"
seasonal_rollout_000006,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-11-08 12:00:00,8,7,,0.15333214402198792,1.0,True,"(7, 52)"
seasonal_rollout_000007,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-11-09 12:00:00,8,7,,0.10899388045072556,1.0,True,"(7, 52)"
seasonal_rollout_000008,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-11-10 12:00:00,8,7,,0.12858380377292633,1.0,True,"(7, 52)"
seasonal_rollout_000009,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-11-11 12:00:00,8,7,,0.33933088183403015,1.0,True,"(7, 52)"
seasonal_rollout_000010,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-11-12 12:00:00,8,7,,0.33504584431648254,1.0,True,"(7, 52)"
seasonal_rollout_000011,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-11-13 12:00:00,8,7,,0.25438013672828674,1.0,True,"(7, 52)"
seasonal_rollout_000012,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-11-14 12:00:00,8,7,,0.2011793553829193,1.0,True,"(7, 52)"
seasonal_rollout_000013,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-11-15 12:00:00,8,7,,0.1965130716562271,1.0,True,"(7, 52)"
seasonal_rollout_000014,seasonal_rollout,【Li】Lake Xiaoxingkai,2025-11-16 12:00:00,8,7,,0.19031140208244324,1.0,True,"(7, 52)"
